filename,quality,psnr_db,nonzero_coeff_ratio
board_000.png,50,11.7957,0.0345
board_001.png,50,11.8906,0.0331
board_002.png,50,11.8813,0.0338
board_003.png,50,11.6282,0.0383
board_004.png,50,11.6636,0.0357
board_005.png,50,11.8287,0.0325
board_006.png,50,11.9186,0.0299
board_007.png,50,11.6213,0.0394
board_008.png,50,11.7737,0.0304
board_009.png,50,11.9943,0.0247
board_010.png,50,11.8367,0.0362
board_011.png,50,11.8005,0.0367
board_012.png,50,11.9098,0.0324
board_013.png,50,11.7464,0.0359
board_014.png,50,11.8143,0.0353
board_015.png,50,11.7873,0.0334
board_016.png,50,11.7868,0.0354
board_017.png,50,11.8946,0.0289
board_018.png,50,11.7829,0.0333
board_019.png,50,11.9283,0.0312
