rank,filename,score,material,positional,pawn_fft_energy
1,board_010.png,6.4109,-3.4700,2.5000,2.6131
2,board_008.png,3.6716,6.6000,0.8000,2.6131
3,board_009.png,2.9929,-1.0865,0.3000,1.8478
4,board_002.png,2.3231,-29.3500,2.0000,3.2907
5,board_003.png,2.0277,-30.5000,-2.4000,0.7654
6,board_005.png,1.9777,-10.2891,-0.2000,2.4495
7,board_015.png,1.2126,2.3000,1.9000,2.9302
8,board_018.png,1.1284,-7.8000,1.4000,1.7809
9,board_004.png,0.5792,-8.3000,2.4000,1.8478
10,board_007.png,0.5636,-20.6300,-1.2000,1.5307
11,board_012.png,0.3562,7.7000,-0.2000,1.0824
12,board_017.png,-0.0972,-6.8390,-0.3000,0.7654
13,board_011.png,-0.8400,2.4600,-0.6000,3.2004
14,board_016.png,-2.3863,0.7000,-4.2000,0.0000
15,board_006.png,-2.7912,-12.1900,0.2000,3.3785
16,board_014.png,-3.0525,16.6500,-1.4000,2.0000
17,board_013.png,-3.5062,10.0275,-2.5000,3.3785
18,board_019.png,-4.3034,0.7000,-2.7000,1.8478
19,board_001.png,-5.1423,-16.4902,-1.1000,2.0000
20,board_000.png,-8.7514,-17.0000,-0.7000,1.4142
